g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,96.76,80,80.96,79.455,رێگا وبان,کۆلێژی تەکنیکیی ئەندازیاری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
,,80,80,82.893,78.245,ئەندازیاری کیمیاوی,کۆلێژی تەکنیکیی ئەندازیاری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
,,74.088,62,75,63.745,جیولۆجی پێترۆل,تەکنیکیی پترۆڵ و کانزاکانی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
67.578,58.9,61.9,59.3,65.6,65.6,تەکنیک کارگێری کار,تەکنیکیی کارگێری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
,,58.1,58.1,65,65,تەکنەلۆجیای ژمێریاری,تەکنیکیی کارگێری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
,,64.984,58.9,68.3,62.6,تەکنەلۆجیای زانیاری کارگێری,تەکنیکیی کارگێری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
65,58.8,63.4,59.1,67.509,65,کارگێری کار,کۆلێژی تەکنیکیی ئاکرێ,ز.پۆڵۆتەکنیکی دهۆک
,,58.5,55.1,59.3,59.3,ڕەزگەری,کۆلێژی تەکنیکیی ئاکرێ,ز.پۆڵۆتەکنیکی دهۆک
87.167,79.143,86.857,81.089,84,84,دەرمانسازی,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
76.957,70.857,78,74.036,78.321,78.321,پەرستاری - نەخۆشەڤانی,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
,,68.479,67.143,67.957,67.957,چارەسەری شوش رت,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
60.4,57.4,61.195,59.204,60.5,60.5,رووپێوی,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
57.3,54.375,58.4,57.046,59,59,بیشەسازی و تەکنەلۆجیا,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
57.929,54.976,61.372,58.182,58.833,58.833,تەکنەلۆجیای وێب,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
56.981,53.6,59.961,57.9,58.19,58.19,تەکنەلۆجیای بیناکاری,پەیمانگای تەکنیکیی دهۆک,ز.پۆڵۆتەکنیکی دهۆک
,60.33,58,62.3,59.244,62.303,کارگێری کار,پەیمانگای تەکنیکیی کارگێری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
56.516,54.074,58.9,56.763,58.4,58.4,ژمێریاری,پەیمانگای تەکنیکیی کارگێری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
56.406,53.612,59,56.8,57.921,57.921,زانیاری کارگێری سیستەیم,پەیمانگای تەکنیکیی کارگێری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
74,68.553,72.286,70.857,74.837,74.873,پەرستاری/ نەخۆشەڤانی,پەیمانگەی تەکنیکی ئاکرێ,ز.پۆڵۆتەکنیکی دهۆک
58.8,56.7,61.4,59,61.6,61.6,کارگێری یاسا,پەیمانگەی تەکنیکی ئاکرێ,ز.پۆڵۆتەکنیکی دهۆک
69.9,55.1,58.4,53.104,58.6,58.6,رووپێوی,پەیمانگەی تەکنیکی ئاکرێ,ز.پۆڵۆتەکنیکی دهۆک
57.1,54.6,59.8,57.6,58.2,58.2,تەکنەلۆجیای زانیاری,پەیمانگەی تەکنیکی ئاکرێ,ز.پۆڵۆتەکنیکی دهۆک
74.571,69.429,75.714,71.714,75.714,75.714,پەرستاری/ نەخۆشەڤانی,پەیمانگەی تەکنیکی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
69.7,67.489,73.7,69.3,73.008,73.008,تەکنەلۆجیای تاقیگەی نۆژداری,پەیمانگەی تەکنیکی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
62.5,59.5,63.3,60.91,62.961,62.961,پێترۆل,پەیمانگەی تەکنیکی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
59.6,57.6,60.6,58.67,61.36,61.36,کارگێری کار,پەیمانگەی تەکنیکی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
59.1,57.429,61,58.828,60.468,60.468,تەکنەلۆجیای زانیاری,پەیمانگەی تەکنیکی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
55.669,54.175,57.578,55.894,57.748,57.748,چاندنی پاراستی,پەیمانگەی تەکنیکی زاخۆ,ز.پۆڵۆتەکنیکی دهۆک
,,68.966,67.8,79.956,69.956,تەکنەلۆجیای تاقیگەی نۆژداری,پەیمانگەی تەکنیکی ئامێدی,ز.پۆڵۆتەکنیکی دهۆک
,,57,55.665,59.281,59.281,کارگێری بازارگەری,پەیمانگەی تەکنیکی ئامێدی,ز.پۆڵۆتەکنیکی دهۆک
55.132,53.546,56.8,55.6,58.2,58.2,کارگێری گەشتیاری,پەیمانگەی تەکنیکی ئامێدی,ز.پۆڵۆتەکنیکی دهۆک
57.191,53.669,58,56.45,58.018,58.018,تەکنەلۆجیای زانیاری,پەیمانگەی تەکنیکی ئامێدی,ز.پۆڵۆتەکنیکی دهۆک
56.514,54.855,58.9,57.2,57.7,57.7,کارگێری کار,پەیمانگەی تەکنیکی ئامێدی,ز.پۆڵۆتەکنیکی دهۆک
74,68.283,71.822,70,72.694,72.694,پەرستاری نەخۆشەڤانی,پەیمانگەی کەنیک بەردەرەش,ز.پۆڵۆتەکنیکی دهۆک
54.223,52.188,56.5,53.737,58.496,58.496,ژمێریاری,پەیمانگەی کەنیک بەردەرەش,ز.پۆڵۆتەکنیکی دهۆک
56.357,54.555,58.8,56.744,58.4,58.4,کارگێری کار,پەیمانگەی کەنیک بەردەرەش,ز.پۆڵۆتەکنیکی دهۆک
53.906,57.282,57.7,53.954,57.548,57.548,تۆرەکانی کۆمپیوتەر,پەیمانگەی کەنیک بەردەرەش,ز.پۆڵۆتەکنیکی دهۆک
56.539,53.636,59,57.806,57.304,57.304,تەکنەلۆجیای زانیاری,پەیمانگەی کەنیک بەردەرەش,ز.پۆڵۆتەکنیکی دهۆک
58.201,55.351,59.34,57.405,57.8,57.8,کارگێری کار,پەیمانگەی کەنیک شێخان,ز.پۆڵۆتەکنیکی دهۆک
54.95,52.543,57.454,54,57.6,57.6,ژمێریاری,پەیمانگەی کەنیک شێخان,ز.پۆڵۆتەکنیکی دهۆک
55.203,53.918,58.248,56.414,57.284,57.284,تەکنەلۆجیای زانیاری,پەیمانگەی کەنیک شێخان,ز.پۆڵۆتەکنیکی دهۆک
83.6,71.367,72.4,67.933,68.1,68.1,کارگێری تەندروستی,پەیمانگەی کەنیک شنگال,ز.پۆڵۆتەکنیکی دهۆک
75.671,51.667,58.2,53.842,57.966,57.966,ژمێریاری,پەیمانگەی کەنیک شنگال,ز.پۆڵۆتەکنیکی دهۆک
,,96.868,94.667,98,96,پزیشک گشتی,پزیشکی,زانکۆی زاخۆ
,,93.983,83.12,91.277,86.433,ئەندازیاری پێترۆل,ئەندازیاری,
,,83.02,79.533,88.17,83.733,شارستانی و ژینگە,ئەندازیاری,
,,80,80,80.6,80.6,میکانیک,ئەندازیاری,
,,81.267,72.38,82.033,78.602,بایۆلۆجی,زانست,
,,76.78,69.167,78.7,74.967,کیمیا,زانست,
,,74.08,64.553,75.5,67.942,زانستی کۆمپیوتەر,زانست,
,,67.097,61.469,70.629,65.294,فیزیک,زانست,
,,61.855,57.804,66.988,61.097,ماتماتیک,زانست,
,,75.4,65.9,77.604,71.575,زمانی ئینگلیزی,زانستی مرۆڤایەتی,
58.6,58.6,60.5,58.018,65.4,65.4,زمانی کوردی,زانستی مرۆڤایەتی,
63.6,60.6,66,59.7,72.2,64.419,مێژوو,زانستی مرۆڤایەتی,
62.4,58.342,65.178,61.685,70.4,61.5,زمانی عەرەبی,زانستی مرۆڤایەتی,
63.6,57.1,60.6,58.5,63.6,60.9,خوێندنی ئیسلامی,زانستی مرۆڤایەتی,
,,68.8,62.9,73.9,63.9,جوگرافیا,پەروەردە,
,,63.517,57.264,66.2,61.8,ماتماتیک,پەروەردە,
,,65.2,61.4,65.6,61.4,دەرونناسی,پەروەردە,
68.98,63.1,68,65.319,73.803,70.5,زمانی ئینگلیزی,پەروەردەی بنەڕەت,
61.8,59.294,63.1,58.2,65.609,65,زانستی کۆمەڵایەتی,پەروەردەی بنەڕەت,
63.192,58.55,65.112,61.6,70.2,64.3,زمانی عەرەبی,پەروەردەی بنەڕەت,
,,64.08,59.112,67.109,62.787,زانستی گشتی,پەروەردەی بنەڕەت,
59.2,58.317,61.5,57.5,62.3,62.3,زمانی کوردی,پەروەردەی بنەڕەت,
,,62.7,58.7,68.8,66.1,زانستی ئابووری,کارگێری و ئابوری,
,,65.165,60.165,65.477,65.477,زانستی دارایی و بانک,کارگێری و ئابوری,
,,64.493,59.959,74.7,64.7,زانستی کارگێری کار,کارگێری و ئابوری,
